chapter,Chapter Content,Questions,Answers
"11.1 Understanding Data, Data Validation, and Data Tables",,"[' Name the four levels of measurement.', ' What tool in Excel can be used to verify the quality of data in your spreadsheets?', 'What is the purpose of Excel Data Tables?', 'What is the main advantage of using Data Tables in Excel?']","[' The four levels of measurement are nominal, ordinal, interval, and ratio.', 'The tool in Excel for verifying the quality of data in your spreadsheets is Data Validation.', 'The purpose of Excel Data Tables is to format information in a professional manner.', 'The main advantage of using Data Tables in Excel is that it allows for quick and easy formatting of data, making it easier to understand and present.']"
11.2 Statistical Functions,"Data analysis is critical for any business to be successful.  Excels built-in statistical functions, such as SUM, AVERAGE, MODE, RANGE, and MEDIAN, provide basic information about a dataset.  The Analysis ToolPak add-in provides a collection of statistical tools for data analysis such as regression and ANOVA. Descriptive Statistics is a quick way to summarize a dataset by giving you values such as the average, the range, and the maximum number.  Regression is used for forecasting and budgeting. The Solver add-in is used to find optimal solutions given a set of predetermined constraints.","['What is the purpose of Excels built-in statistical functions?', 'What is the difference between Descriptive Statistics and Regression?', 'What is the Analysis ToolPak add-in used for in data analysis?', 'What is the Solver add-in used for in Excel?', 'What is the purpose of the MEDIAN function?']","[' The purpose of Excels built-in statistical functions is to provide basic information about a dataset.', 'Descriptive Statistics is a quick way to summarize a dataset by giving you values such as the average, the range, and the maximum number. Regression, on the other hand, is used for forecasting and budgeting.', 'The Analysis ToolPak add-in provides a collection of statistical tools for data analysis such as regression and ANOVA.', 'The Solver add-in in Excel is used to find optimal solutions given a set of predetermined constraints.', 'The purpose of the MEDIAN function is to provide the middle value of a dataset.']"
11.3 What-If Analysis, Scenario Manager and Goal Seek are part of the What-If Analysis tool group.  The Scenario Manager is a tool that allows you to investigate the impact of various changes to input cells on target cells.  The Scenario Manager can give you a summary of all scenarios to help with decision making.  Goal Seek is used when you have a single input variable. Goal Seek is used to set a target value for a cell by changing the values in another cell.,"[' What is the purpose of the Scenario Manager in What-If Analysis?', ' What is the purpose of the Goal Seek function in What-If Analysis?', 'How does the Scenario Manager help with decision making?', ' What is an example of a situation where you would use the Scenario Manager?', ' What is an example of a situation where you would use the Goal Seek function?', 'How does the Goal Seek function change the values in another cell?', 'What is the difference between the Scenario Manager and Goal Seek?', 'What are the advantages of using What-If Analysis?']","[' The Scenario Manager in What-If Analysis is used to investigate the impact of various changes to input cells on target cells.', 'The Goal Seek function in What-If Analysis is used to set a target value for a cell by changing the values in another cell.', 'The Scenario Manager provides a summary of all scenarios, helping with decision making by providing a clear overview of the impact of various changes.', 'An example of a situation where you would use the Scenario Manager is when you need to understand the impact of changes in input cells on target cells.', ' An example of a situation where you would use the Goal Seek function is when you need to find the value of a cell that will achieve a specific target value.', ' The Goal Seek function changes the values in another cell by setting a target value for a cell and adjusting the values in other cells to achieve that target.', ' The Scenario Manager and Goal Seek are tools that work together in What-If Analysis. The Scenario Manager provides a summary of all scenarios, while Goal Seek allows for the adjustment of one cell based on the values in other cells.', ' The advantages of using What-If Analysis include its ability to simulate different scenarios, understand the impact of changes, and make informed decisions.']"
11.4 PivotTables/Charts,The PivotTable Analyze tab offers tools to make data analysis and filtering easier. Timelines can be inserted to filter the PivotTable data by date. Slicers can be used in PivotTables and Data Tables to filter data with visual buttons. Calculated fields can be added to PivotTables for additional analysis using formulas.  The List Formulas tool creates a separate worksheet that includes all formulas used in the PivotTable. It is a valuable tool when there are multiple users of a single workbook.,"[' What is the purpose of the PivotTable Analyze tab?', 'How can you insert a timeline in a PivotTable?', 'What are slicers and how are they used in PivotTables and Data Tables?', ' What is a calculated field and how can it be added to a PivotTable?', 'What is the List Formulas tool and how is it used?', 'What is the purpose of the List Formulas tool?']","[' The PivotTable Analyze tab is used to make data analysis and filtering easier by providing tools for filtering data, sorting data, and creating calculated fields.', ' You can insert a timeline in a PivotTable by selecting the ""Insert Timeline"" option in the Analyze tab.', 'Slicers are tools in PivotTables and Data Tables that allow you to filter data with visual buttons. They are used to filter data based on specific criteria, such as date, category, or value.', 'A calculated field is a new field in a PivotTable that is calculated using a formula. It can be added to a PivotTable by selecting the ""Add"" button in the Analyze tab, then selecting ""New Item"" and entering a formula.', 'The List Formulas tool creates a separate worksheet that includes all formulas used in the PivotTable. It is a valuable tool when there are multiple users of a single workbook as it allows all users to see the formulas used in the PivotTable.', 'The List Formulas tool provides a list of all formulas used in the PivotTable, making it easier to understand and maintain the formulas used in the PivotTable.']"
11.5 Data Analysis Charts," There are many types of charts to visually present your data.  Some options for charts or graphs include bar charts, pie charts, column charts, line graphs, and scatter plots.  A column chart can be used to show comparisons between groups. A line chart is useful to show changes over time.  Scatter plots visually show the relationship between two variables and are often used with regression.  Chart templates can be created for chart formats you use frequently such as those with company colors or logos. The Quick Analysis tool gives you access to several options such as conditional formatting, adding totals to the rows or columns, or quick links to creating a chart of the data. â¢ Sparklines added to your Data Table can be used to quickly assess trends. 826 11 â¢ Chapter Review Access for free at openstax.org  Review Questions","[' What are the different types of charts that can be used to visually present data?', ' How can a column chart be used to show comparisons between groups?', 'What is the purpose of a line chart?', 'How can scatter plots be used to show the relationship between two variables?', ' What are some ways to create chart templates with company colors or logos?', ' What are the features of the Quick Analysis tool?', 'How can Sparklines be used to quickly assess trends?']","['The different types of charts that can be used to visually present data include bar charts, pie charts, column charts, line graphs, and scatter plots.', 'A column chart can be used to show comparisons between groups by showing the height of each bar in relation to each other.', ' A line chart is useful to show changes over time by plotting a series of data points connected by straight line segments.', 'Scatter plots visually show the relationship between two variables by plotting each data item as a coordinate in two-dimensional space.', ' Chart templates can be created for chart formats you use frequently such as those with company colors or logos by customizing the chart settings.', 'The Quick Analysis tool gives you access to several options such as conditional formatting, adding totals to the rows or columns, or quick links to creating a chart of the data.', 'Sparklines added to your Data Table can be used to quickly assess trends by displaying a small, compact chart within a table cell.']"
12.1 Basic Accounting," Accounting is the process of organizing, analyzing, and communicating financial information that is used for decision making.  Financial accounting measures performance using financial reports and communicates results to those outside of the organization who may have an interest in the companys performance, such as investors and creditors.  Managerial accounting uses both financial and nonfinancial information to aid in internal decision making.","[' What is the main purpose of accounting?', 'What is the difference between financial and managerial accounting?', 'What are the benefits of using financial reports in accounting?', 'What is the purpose of communication of results to those outside of the organization?', 'What is an example of non-financial information used in managerial accounting?']","[' The main purpose of accounting is to organize, analyze, and communicate financial information that is used for decision making.', 'Financial accounting measures performance using financial reports and communicates results to those outside of the organization who may have an interest in the companyâ\x80\x99s performance, such as investors and creditors. Managerial accounting uses both financial and nonfinancial information to aid in internal decision making.', "" The benefits of using financial reports in accounting include providing a clear overview of a company's financial health, enabling comparison of different companies, and providing information for decision making."", "" The purpose of communication of results to those outside of the organization is to provide transparency and accountability, enabling stakeholders to understand the company's financial performance and make informed decisions."", ""An example of non-financial information used in managerial accounting is the use of operational data to help make strategic decisions about a company's operations.""]"
12.2 Financial Functions in Microsoft Excel,"The time value of money theory, or the theory that money loses value as time passes, is the basis of many financial decisions and can be useful in helping decision makers understand the long-term impacts of their choices now.  The time value of money variables are PV, RATE, NPER, PMT, and FV. They allow you to calculate the time value of money. Depreciation is a mathematical formula that allows business owners to quantify how much value an asset loses over time so that they can plan for replacing the asset.","['What is the time value of money theory?', ' What are the time value of money variables?', 'What is depreciation and how is it used in business planning?', ' What is the formula for calculating the present value of an investment?', 'What is the formula for calculating the future value of an investment?', ' What is the formula for calculating the number of periods required for an investment to reach a certain future value?', ' What is the formula for calculating the periodic payment on an investment?', ' What is the formula for calculating the future value of an investment given a constant rate of return?']","['The time value of money theory is the basis of many financial decisions and can be useful in helping decision makers understand the long-term impacts of their choices now.', 'The time value of money variables are PV, RATE, NPER, PMT, and FV. They allow you to calculate the time value of money.', 'Depreciation is a mathematical formula that allows business owners to quantify how much value an asset loses over time so that they can plan for replacing the asset.', ' The formula for calculating the present value of an investment is PV = FV / (1 + RATE) ^ NPER.', 'The formula for calculating the future value of an investment is FV = PV * (1 + RATE) ^ NPER.', 'The formula for calculating the number of periods required for an investment to reach a certain future value is NPER = LOG(FV / PV) / LOG(1 + RATE).', 'The formula for calculating the periodic payment on an investment is PMT = RATE * PV / (1 - (1 + RATE) ^ -NPER).', ' The formula for calculating the future value of an investment given a constant rate of return is FV = PV * (1 + RATE) ^ NPER.']"
12.3 Integrating Microsoft Excel and Accounting Programs," QuickBooks is an accounting software suite. It is a different kind of software from Excel, and they both have their advantages and disadvantages for use in accounting. Accounting software programs can better keep track of revenues and expenditures and do so automatically and following IRS rules.  Accounting software programs do not do well in data analysis, because the database is designed to be for financial analysis. You would have to export data from the program to an Excel file, then use Excel to further analyze the data.  Excels extensive data analysis capabilities meet the needs of managerial accounting. Excel also integrates well with accounting software programs. Review Questions","['What is the main advantage of using Excel over accounting software programs?', ' What is the main disadvantage of using Excel over accounting software programs?', ' What is QuickBooks and what is its main advantage over other accounting software?', 'What is the main reason why accounting software programs do not do well in data analysis?', ' How does Excel integrate well with accounting software programs?']","["" Excel's extensive data analysis capabilities meet the needs of managerial accounting."", ' Accounting software programs can better keep track of revenues and expenditures and do so automatically and following IRS rules.', ' QuickBooks is an accounting software suite. It is a different kind of software from Excel, and it has its advantage of being able to better keep track of revenues and expenditures and do so automatically and following IRS rules.', ' Accounting software programs do not do well in data analysis, because the database is designed to be for financial analysis.', ' Excel integrates well with accounting software programs by allowing for data to be exported from the program to an Excel file, then used in Excel to further analyze the data.']"
13.1 What Is a Database?,"Databases are storage areas for data, small bits of information that are collected all around us. Organizations typically have production systems, which run and store the transactions necessary for the organization itself, and analytical systems, which store historical data that can be analyzed and used for business intelligence. Databases consist of objects, including tables, queries, forms, and reports. These objects can be used for data manipulation and for applications within a business.","['What is a database?', 'What are the two types of databases mentioned in the chapter?', 'What are the objects that databases consist of?', ' What are the two types of transactions that are necessary for an organization?', 'What is the purpose of analytical systems in organizations?', ' What is the difference between production systems and analytical systems?', 'What are the benefits of using databases in organizations?', 'What are some examples of data that can be stored in a database?', 'What is the role of queries, forms, and reports in a database?', 'How can databases be used for applications within a business?']","[' A database is a storage area for data, small bits of information that are collected all around us.', ' The two types of databases mentioned in the chapter are production systems and analytical systems.', ' The objects that databases consist of include tables, queries, forms, and reports.', ' The two types of transactions that are necessary for an organization are production transactions and analytical transactions.', ' The purpose of analytical systems in organizations is to store historical data that can be analyzed and used for business intelligence.', 'The difference between production systems and analytical systems is that production systems run and store the transactions necessary for the organization itself, while analytical systems store historical data.', 'The benefits of using databases in organizations include improved data management, increased data sharing, and enhanced decision-making capabilities.', ' Some examples of data that can be stored in a database include customer information, sales data, and product data.', 'The role of queries, forms, and reports in a database is to allow users to manipulate and analyze the data stored in the database.', 'Databases can be used for applications within a business to improve data management, increase data sharing, and enhance decision-making capabilities.']"
13.2 Microsoft Access: Main Features and Navigation,"Access is a relational database management system that can work with other systems. Access contains typical database objects such as tables, queries, forms, and reports.  Closing and saving your work in Access is an important process, as only one database can be open at a time.","[' What is the main difference between Access and other database management systems?', ' What are the typical database objects in Access?', ' What is the importance of closing and saving your work in Access?']","[' Access is a relational database management system that can work with other systems.', ' Access contains typical database objects such as tables, queries, forms, and reports.', 'Closing and saving your work in Access is an important process, as only one database can be open at a time.']"
13.3 Querying a Database," Queries can return data from one or more tables and can sort, limit, or calculate values from tables. SQL is a universal language used for queries; however, it is not necessary in Access. Access queries can be set up using either the Query Wizard or the QBE grid. Joins, representing relationships between fields across tables, can be created, changed, or removed.","['What is the difference between SQL and Access?', 'What are the two ways to set up an Access query?', ' What is a join in SQL?', 'How can you create, change, or remove joins in Access?', ' What is the purpose of sorting in queries?', 'How can you limit the number of records returned by a query?', 'How can you calculate values from tables in queries?', 'What is the difference between a universal language and a specific language?']","['SQL is a universal language used for queries, but it is not necessary in Access. Access queries can be set up using either the Query Wizard or the QBE grid.', ' The Query Wizard and the QBE grid are two ways to set up an Access query.', ' A join in SQL represents relationships between fields across tables.', ' Joins can be created, changed, or removed in Access using the Query Wizard or the QBE grid.', 'Sorting in queries can be used to organize the data in a specific order.', 'You can limit the number of records returned by a query by using the ""Top N"" option in the Query Wizard or the QBE grid.', 'You can calculate values from tables in queries using the ""Calculated Field"" option in the Query Wizard or the QBE grid.', ' A universal language is a language that can be used to communicate with any type of computer system, while a specific language is designed to communicate with a particular type of computer system. SQL is a universal language, while Access is a specific language designed for working with databases.']"
13.4 Maintaining Records in a Database,"Microsoft Access can be used to locate and review records. You will likely add records to a database by importing from other data sources.  It is possible to edit or delete records in a database, but these functions are less common.","[' What is the purpose of a database?', ' What is the difference between a database and a file?', 'What is the purpose of a database management system (DBMS)?', 'What is the difference between a relational database and a non-relational database?']","['The purpose of a database is to store, retrieve, and manage data efficiently.', ' A database is a collection of data that is organized in a way that allows for efficient retrieval and manipulation. A file, on the other hand, is a single unit of data that can be stored and retrieved independently of other data.', ' The purpose of a database management system (DBMS) is to provide a user-friendly interface for managing and manipulating databases. It also includes features for data definition, data manipulation, data control, and data administration.', ' A relational database is a type of database that stores data in tables related by common fields. A non-relational database, on the other hand, stores data in a format that is not']"
13.5 Creating Reports in Microsoft Access,"Reports compile and summarize data in actionable, useful formats that can be used for business decision- making. Reports update with current information each time we open them and can be modified to show only the information most useful to a reader.  We can use the Report Wizard to create new reports that we can later customize.  Reports can be customized to include images and custom text, like logos.","[' What is the purpose of a report in Microsoft Access?', ' How does a report update with current information?', 'What is the difference between a report and a form?', 'How can we use the Report Wizard to create new reports?', ' Can we customize reports to include images and custom text?']","[' The purpose of a report in Microsoft Access is to compile and summarize data in actionable, useful formats that can be used for business decision-making.', 'Reports update with current information each time we open them.', 'The main difference between a report and a form is that a report is designed to present data in a summarized format, while a form is designed to present data in a detailed format.', 'We can use the Report Wizard to create new reports that we can later customize.', 'Yes, we can customize reports to include images and custom text.']"
13.6 Creating Forms in Microsoft Access,"Forms provide an easy-to-use interface with a database. Most websites use forms for inputting, requesting, and accessing information. Forms can be created and edited using the Form Wizard. Forms can be customized in either Layout View or Design View. ","['What is the purpose of a form in a database?', ' How can you create a form in Microsoft Access?', 'What are the two views in Microsoft Access that you can use to customize a form?', 'What is the Form Wizard in Microsoft Access used for?']","[' The purpose of a form in a database is to provide a user-friendly interface for inputting, requesting, and accessing information.', 'You can create a form in Microsoft Access by navigating to the Forms section in the Navigation Pane, right-clicking, and selecting New.', ' The two views in Microsoft Access that you can use to customize a form are Layout View and Design View.', 'The Form Wizard in Microsoft Access is used to guide you through the process of creating a new form.']"
